Seguidores,Seguidos
2157,2101
100,520
1450,3458
19706,2172
1187,187
222,530
1450,3458
1450,3458
2432,931
11341,2766
956,693
1443,4684
480,925
469,951
198,257
5,17
5,17
974,2152
10652,1070
329,421
7193,6344
5184,5097
4463,1993
66,143
822,2221
89,67
1844,1496
324,397
92,207
94,30
370,113
27187,2822
1271,376
27187,2822
1203,406
604,259
145,332
61,434
558,69
1898,1555
1898,1555
546,552
51660,3573
913,1742
3175,2181
285,587
366,4473
1057,1358
1583,2153
50,52
1313,2750
10494,2449
1002,750
91,147
452,575
518,231
13784,3382
657,1071
777,407
15427,2018
1062,1765
157,204
170,131
41,223
648,203
20,65
524,241
325,806
329,421
2204,2490
239,235
128,258
2008,989
670,136
3659,292
1076,831
1076,831
2175,269
594,1210
602,236
602,236
1073,2344
10227,750
426,1156
602,578
88,67
570,1227
714,533
412,395
7291,7891
7291,7891
7291,7891
7291,7891
58,122
1150,1025
362,516
287,515
1198377,1278
581,784
132,48
132,48
10843,8965
132,48
132,48
132,48
28804,18647
414,635
414,635
132,48
132,48
132,48
1954,2013
132,48
10208,3586
2041,2063
132,48
132,48
14956,13935
5,19
399,634
49087,1219
49,84
79,178
790,789
2294,2593
1861,604
8251,1278
455,867
455,867
159,205
307,404
1954,2013
18,33
13829,4244
54,316
2159,2101
1093,715
571,1453
1501,631
266,487
104,558
55,246
30329,2288
358,1819
170,54
107,132
176,601
104,222
50,120
4911,3256
151,815
4527,594
160,210
184,240
8204,1482
46099,24577
27,114
1001,531
256,285
3141,999
545,869
157,204
157,204
2159,2101
125,219
1318,174
121,470
184,354
26,21
587,1615
545,869
545,869
108,177
71,211
1505,2129
1505,2129
455,868
293,631
634,605
39,249
293,631
900,671
92424,1306
700,2325
127,210
634,605
88,67
4320,2854
272,187
88,67
906,494
39,249
39,249
689,1376
6053,3226
587,1615
455,868
10261,125
455,868
229,1455
92424,1306
47,257
284,249
20497,4185
20497,4185
1666,1309
3660,292
3400,588
122,239
1210,213
653,699
1535,961
1229,403
33,332
972,415
2485,414
8923,2999
13916,220
125,221
8923,2999
457,204
1513,1566
1687,738
2663,423
370,2105
172,445
7,15
661,568
186,1120
1990,264
226,265
1735,971
1735,971
1990,264
5182,5097
1604,3209
1990,264
273,1245
445,228
26694,7401
900,671
104,151
78,98
470,235
92417,1306
1149,1025
1426,1514
3626,790
84,257
338,573
4143,2081
11,272
2009,1229
103,271
431,588
68,76
256,1434
8,183
7188,6344
361,403
521,574
767,340
118,24
96,98
4946,4925
945,2518
113891,738
77,78
112,749
1540,542
361,403
20495,4185
12629,3323
1442,2543
98,765
3570,872
7121,1552
5214,2795
282,261
246,610
855,694
1436,1915
3250,4997
12833,1299
6023,5151
1258,1096
1792,4369
2675,910
5,7
1217,1879
682,1582
44,499
20,46
2172,1436
3503,965
2172,1436
3127,1007
233633,76
233633,76
389917,8161
1845,1496
8561,4519
5792,5590
324,397
5792,5590
10,49
191022,1618
8190,1075
364,329
14115,3266
2928,4133
756,1057
62,110
858,138
296,703
392,234
57,179
39,190
633,431
4377,900
85,526
995,657
121,95
1491,3176
414,608
219,210
20,180
292,179
1188,1069
1504,2127
1504,2127
3016,1238
102,265
1152,581
1152,581
34,258
59,115
2359,2536
6652,294
1506,1130
7182,856
1152,581
650250,2204
6808,1701
1009,744
120117,2925
2505,951
20420,188
1191,360
79,789
4639,5102
4639,5102
4639,5102
4639,5102
243,853
1761,1195
545,868
331,690
419,460
10301,3177
235,355
2253,715
8025,1847
1593,1131
197,268
48732,808
4636,5102
585,469
6994,4116
527,569
545,868
42,224
850,730
1735,971
311,412
203,398
1604,3209
1735,971
302,496
1735,971
1604,3209
1604,3209
153,500
1604,3209
1735,971
1735,971
1604,3209
1735,971
360,303
809,288
523,724
51,70
12001,2615
475,295
670,695
1965,1542
91,266
28801,18646
180,251
1195,865
7284,7886
7185,6344
7185,6344
7185,6344
19703,2172
333,1020
113,77
2704,694
2704,694
30,130
30,130
8353,1112
2726,720
44,48
32,62
7252,703
3883,4342
21834,1240
1127,1194
1831,810
1834,1662
1831,810
1834,1662
1380,357
2162,608
4412,538
4412,538
5213,363
4636,5102
2824,10
2824,10
133,270
10989,7658
899,591
406,249
38756,2823
406,249
406,249
217,285
4317,2854
650,500
222,339
657,2484
364,329
331,687
1188,1069
91,266
554,872
1893,627
662,866
28801,18646
78,255
733,185
236,154
781,544
266,442
201,719
700,824
2792,3679
3168,647
608,1984
587,1616
1547,832
7238,576
176,941
42,76
183,191
73,175
32306,2156
30,120
30,120
30,120
3882,4340
